System,Reaction,Formula,N_Atoms,Total_Mass,E_Diff,Barrier_Diff,RMSD_Saddle,Ratio_Calls,Ratio_Time,RMSD_Init_Final_CINEB,RMSD_Init_Final_MMF,Barrier_CINEB,Force_CINEB,Path_Len_CINEB,Calls_CINEB,Time_CINEB,Term_CINEB,Force_Init_CINEB,Force_Final_CINEB,Barrier_MMF,Force_MMF,Calls_MMF,Time_MMF,Term_MMF,Force_Init_MMF,Force_Final_MMF
01_hcn,bold('01:')~HCN*'->'*HNC,CHN,3,27.026,3.000000003083869e-6,-8.999999999925734e-6,0.0003354375388641111,1.1412429378531073,1.0696621318635533,0.13607212277652841,0.13604347383050572,2.918234,0.033003,2.9848074290161755,202,6.05893,GOOD,-1.1357,0.033003,2.918243,-0.00122,177,5.66434,GOOD,-1.1357,-0.00122
02_hcch,bold('02:')~HCCH*'->'*CCH[2],C2H2,4,26.037999999999997,-0.0005839999999999179,-0.0005949999999999844,0.0013391349248040583,1.82,1.3526231295261733,0.34388491856006664,0.3435148262490332,0.209215,0.009059,3.871543319683698,546,11.1301,GOOD,0.289204,0.009059,0.20981,-0.000539,300,8.22853,GOOD,0.289204,-0.000539
03_h2co,bold('03:')~H[2]*CO*'->'*H[2] + CO,CH2O,4,30.025999999999996,-0.002695999999996701,-0.0027080000000001547,0.0007329129183666171,2.358288770053476,1.865830255958916,0.3142187435236981,0.3142760843703949,3.132832,-0.030923,7.9158274303839535,882,16.4511,GOOD,-1.370018,-0.030923,3.13554,-0.00406,374,8.81704,GOOD,-1.370018,-0.00406
15_hocl,bold('15:')~HOCl*'->'*HCl + CO,CHClO,4,64.468,4.000000000559112e-6,4.999999999810711e-6,0.00189443973156006,2.2074074074074073,1.6227360027228748,0.2413955447637675,0.24096674340520208,2.121778,-0.003752,2.9117061986968267,298,8.00976,GOOD,-0.490795,-0.003752,2.121773,-0.006342,135,4.93596,GOOD,-0.490795,-0.006342
04_ch3o,bold('04:')~CH[3]*O*'->'*CH[2]*OH,CH3O,5,31.033999999999995,-0.00341500000000039,-0.00017100000000014326,0.0014111208599240812,1.4473684210526316,1.2270194371097785,0.2535639198661466,0.25239397249936324,1.112097,-0.023291,2.339804197936398,330,13.8944,GOOD,0.523093,-0.023291,1.112268,-0.011928,228,11.3237,GOOD,0.523093,-0.011928
19_hnccs,bold('19:')~HNCCS*'->'*HNC + CS,C2HNS,5,71.09700000000001,0.03629100000000207,0.036160000000000025,0.3176598121860546,2.0998406797663303,1.821164679971633,0.4220338712892227,0.6088756569598162,0.462698,0.018279,12.029006901451153,3954,77.8109,GOOD,0.23371,0.018279,0.426538,0.001887,1883,42.7259,GOOD,0.23371,0.001887
23_hcn_h2,bold('23:')~HNC + H[2]*'->'*H[2]*CNH,CH3N,5,29.041999999999998,-0.0003799999999998249,-0.0003910000000000302,0.0034156774978869233,2.058201058201058,1.5535814637098517,0.31681638961960795,0.3159640253516585,2.36013,-0.028667,6.126422682397029,778,17.9695,GOOD,-0.060064,-0.028667,2.360521,-0.009087,378,11.5665,GOOD,-0.060064,-0.009087
24_h2cnh,bold('24:')~H[2]*CNH*'->'*HCNH[2],CH3N,5,29.041999999999998,-0.002043000000000461,-0.00020200000000025753,0.00720409165119788,3.576642335766423,2.097765043987239,0.24339779059150804,0.2412709318158898,2.027233,-0.010635,2.250036602463173,490,16.7083,GOOD,1.471536,-0.010635,2.027435,-0.005974,137,7.96481,GOOD,1.471536,-0.005974
25_hcnh2,bold('25:')~HCNH[2]*'->'*HCN + H[2],CH3N,5,29.041999999999998,0.0018669999999971765,0.00045399999999995444,0.004933360908320404,2.210843373493976,1.7283046895954115,0.5383476100990854,0.5388837395216667,2.347752,0.029825,6.9282018326228805,2202,41.8846,GOOD,-2.016974,0.029825,2.347298,-0.002788,996,24.2345,GOOD,-2.016974,-0.002788
14_vinyl_alcohol,bold('14:')~Acetaldehyde~keto-enol~tautomerism,C2H4O,7,44.05300000000001,0.0009990000000001942,0.0010449999999999626,0.03440542731570111,1.6909871244635193,1.4857672302286968,0.3715999725318764,0.39952189315260644,2.110771,0.006331,3.367062957903554,394,16.1962,GOOD,0.588302,0.006331,2.109726,-0.010104,233,10.9009,GOOD,0.588302,-0.010104
